GSM,515,2,20263,32470,0,121.045,14.5545,1000,16,1,1363617934,1760144407,0
GSM,515,2,20260,12221,0,121.0334,14.5483,1000,24,1,1363649153,1760144462,0
GSM,515,2,20266,32277,0,121.028,14.5351,1003,42,1,1363674741,1760144583,0
GSM,515,2,20263,31688,0,121.0446,14.5542,1000,12,1,1363675295,1760144408,0
GSM,515,2,20260,32590,0,121.0401,14.5595,500,50,1,1363675561,1745487973,0
GSM,515,2,20260,31211,0,121.0353,14.5556,1208,36,1,1363676964,1760143808,0
GSM,515,2,20239,11672,0,121.0539,14.5734,1000,16,1,1364366250,1745487966,0
GSM,515,2,20260,11343,0,120.9891,14.5945,34613,50,1,1364366267,1745487973,0
GSM,515,2,20260,21343,0,121.0214,14.5437,1000,21,1,1364366267,1745487973,0
GSM,515,2,20266,22304,0,121.0232,14.5191,1039,40,1,1364366267,1760144584,0
GSM,515,2,20263,29627,0,121.0457,14.5502,500,30,1,1364366279,1760144524,0
GSM,515,2,20263,11378,0,121.0462,14.5498,1000,12,1,1364366279,1760144523,0
GSM,515,2,20266,12304,0,121.024,14.5209,2229,50,1,1364366341,1760144584,0
GSM,515,2,20237,21627,0,121.0626,14.5896,500,29,1,1364366347,1745487971,0
GSM,515,2,20239,11622,0,121.0614,14.5759,1000,10,1,1364366347,1745487966,0
GSM,515,2,20263,29599,0,121.0557,14.5459,1000,24,1,1364366347,1760144530,0
GSM,515,2,20260,21285,0,121.0256,14.547,1000,11,1,1364366347,1760144462,0
GSM,515,2,20237,21647,0,121.0613,14.5846,1000,20,1,1364366360,1745487966,0
GSM,515,2,20237,31647,0,121.0595,14.5843,500,31,1,1364366360,1745487966,0
GSM,515,2,20260,51285,0,121.0265,14.5478,500,41,1,1364366378,1760144462,0
GSM,515,2,20260,31343,0,121.0222,14.5443,1000,15,1,1364366378,1745487973,0
GSM,515,2,20260,11285,0,121.0276,14.549,986,33,1,1364366379,1760144462,0
GSM,515,2,20263,12354,0,121.0484,14.5505,1000,16,1,1364366380,1760144524,0
GSM,515,2,20266,11686,0,121.025,14.5284,911,48,1,1364366385,1760144583,0
GSM,515,2,20213,3101,0,121.0718,14.6566,602,50,1,1364392099,1760144346,0
GSM,515,2,20217,21327,0,121.0351,14.6448,778,27,1,1366192910,1760144048,0
GSM,515,2,20235,22192,0,121.0508,14.6202,4090,36,1,1366192910,1760143985,0
GSM,515,2,20217,23109,0,121.0396,14.6408,500,40,1,1366345004,1760143986,0
GSM,515,2,20213,43101,0,121.0718,14.6569,553,50,1,1366345004,1760144345,0
GSM,515,2,23229,13268,0,124.0088,10.3029,2647,47,1,1369982681,1771935481,0
GSM,515,2,20217,33158,0,121.0384,14.6384,3865,13,1,1348655109,1760144402,0
GSM,515,2,20230,32018,0,120.9959,14.5592,1334,11,1,1361345992,1760143682,0
GSM,515,2,20237,21530,0,121.0471,14.5836,1000,12,1,1361936934,1760143861,0
GSM,515,2,20237,31530,0,121.0432,14.5835,657,34,1,1361936983,1760143861,0
GSM,515,2,20217,32195,0,121.0349,14.6271,1697,50,1,1362789112,1760144403,0
GSM,515,2,20230,11058,0,120.9888,14.5751,3249,15,1,1362790340,1760143626,0
GSM,515,2,20253,21313,0,121.0038,14.5379,853,27,1,1363945933,1760143804,0
GSM,515,2,20217,12153,0,121.0374,14.6281,1000,17,1,1365138146,1760144403,0
GSM,515,2,20217,32169,0,121.0445,14.6307,785,50,1,1365138386,1760144404,0
GSM,515,2,20208,11334,0,121.0306,14.6246,500,27,1,1367805609,1760144341,0
GSM,515,2,23204,33246,0,123.9111,10.3193,1000,9,1,1368787113,1730075882,0
GSM,515,2,28501,38517,0,125.5475,8.9225,1353,50,1,1374074201,1770466092,0
